Mod:Item:MetaData, Localized Name
ic2:dust:25, Небольшая кучка обсидиановой пыли
ic2:dust:26, Небольшая кучка серебряной пыли
ic2:dust:27, Небольшая кучка серной пыли
ic2:dust:28, Небольшая кучка оловянной пыли
ic2:dust:29, Гидратированная оловянная пыль
ic2:dust:30, Netherrack Dust
ic2:ingot:0, Композитный слиток
ic2:ingot:1, Бронзовый слиток
ic2:ingot:2, Медный слиток
ic2:ingot:3, Свинцовый слиток
ic2:ingot:4, Серебряный слиток
ic2:ingot:5, Стальной слиток
ic2:ingot:6, Оловянный слиток
ic2:plate:0, Бронзовая пластина
ic2:plate:1, Медная пластина
ic2:plate:2, Золотая пластина
ic2:plate:3, Железная пластина
ic2:plate:4, Лазуритовая пластина
ic2:plate:5, Свинцовая пластина
ic2:plate:6, Обсидиановая пластина
ic2:plate:7, Стальная пластина
ic2:plate:8, Оловянная пластина
ic2:plate:9, Плотная бронзовая пластина
ic2:plate:10, Плотная медная пластина
ic2:plate:11, Плотная золотая пластина
ic2:plate:12, Плотная железная пластина
ic2:plate:13, Плотная лазуритовая пластина
ic2:plate:14, Плотная свинцовая пластина
ic2:plate:15, Плотная обсидиановая пластина
ic2:plate:16, Плотная стальная пластина
ic2:plate:17, Плотная оловянная пластина
ic2:casing:0, Бронзовая оболочка
ic2:casing:1, Медная оболочка
ic2:casing:2, Золотая оболочка
ic2:casing:3, Железная оболочка
ic2:casing:4, Свинцовая оболочка
ic2:casing:5, Стальная оболочка
ic2:casing:6, Оловянная оболочка
ic2:nuclear:0, Обогащённое урановое ядерное топливо
ic2:nuclear:1, Уран-235
ic2:nuclear:2, Уран-238
ic2:nuclear:3, Плутоний
ic2:nuclear:4, Ядерное топливо MOX
ic2:nuclear:5, Кусочек урана-235
ic2:nuclear:6, Кусочек урана-238
ic2:nuclear:7, Кусочек плутония
ic2:nuclear:8, Пеллеты обогащённого уранового ядерного топлива
ic2:nuclear:9, Пеллеты ядерного топлива MOX
ic2:nuclear:10, Пеллета РИТЭГ-топлива
ic2:nuclear:11, Топливный стержень (Обеднённый уран)
ic2:nuclear:12, Сдвоенный топливный стержень (Обеднённый уран)
ic2:nuclear:13, Счетверённый топливный стержень (Обеднённый уран)
ic2:nuclear:14, Топливный стержень (Обеднённый MOX)
ic2:nuclear:15, Сдвоенный топливный стержень (Обеднённый MOX)
ic2:nuclear:16, Счетверённый топливный стержень (Обеднённый MOX)
ic2:misc_resource:0, Пепел
ic2:misc_resource:1, Иридиевая руда
ic2:misc_resource:2, Осколок иридия
ic2:misc_resource:3, Материя
ic2:misc_resource:4, Латекс
ic2:misc_resource:5, Шлак
ic2:misc_resource:6, Иод
ic2:misc_resource:7, Вода
ic2:misc_resource:8, Лава
ic2:crafting:0, Резина
ic2:crafting:1, Электросхема
ic2:crafting:2, Улучшенная электросхема
ic2:crafting:3, Композит
ic2:crafting:4, Укреплённая иридиевая пластина
ic2:crafting:5, Катушка
ic2:crafting:6, Электромотор
ic2:crafting:7, Теплопровод
ic2:crafting:8, Медный нагреватель
ic2:crafting:9, Топливный стержень (Пустой)
ic2:crafting:10, Консервная банка
ic2:crafting:11, Малый силовой агрегат
ic2:crafting:12, Силовой агрегат
ic2:crafting:13, Углеволокно
ic2:crafting:14, Углеткань
ic2:crafting:15, Углепластик
ic2:crafting:16, Угольный шарик
ic2:crafting:17, Сжатый угольный шарик
ic2:crafting:18, Угольная глыба
ic2:crafting:19, Промышленный алмаз
ic2:crafting:20, Биомасса
ic2:crafting:21, Отходы
ic2:crafting:23, Утильсырьё
ic2:crafting:24, Коробка утильсырья
ic2:crafting:25, Строительный порошок
ic2:crafting:27, Необработанный кристалл памяти
ic2:crafting:29, Железный стержень
ic2:crafting:30, Стальной стержень
ic2:crafting:31, Деревянная лопасть ротора
ic2:crafting:32, Железная лопасть ротора
ic2:crafting:33, Стальная лопасть ротора
ic2:crafting:34, Углеволоконная лопасть ротора
ic2:crafting:35, Лопасть паровой турбины
ic2:crafting:36, Паровая турбина
ic2:crafting:37, Крепёж для реактивного ранца
ic2:crafting:38, Промышленная монета
ic2:crafting:41, Бронзовая лопасть ротора
ic2:crafting:42, Бронзовый стержень
ic2:block_cutting_blade:0, Железный режущий диск
ic2:block_cutting_blade:1, Стальной режущий диск
ic2:block_cutting_blade:2, Алмазный режущий диск
ic2:upgrade_kit:0, Набор улучшения МФСУ
ic2:crop_stick, ic2.crop_stick.name
ic2:crop_res:0, Кофейные зёрна
ic2:crop_res:1, Молотый кофе
ic2:crop_res:2, Удобрение
ic2:crop_res:3, Токсичная пыль
ic2:crop_res:4, Хмель
ic2:crop_res:5, Сорняк
ic2:terra_wart, ic2.terra_wart.name
ic2:cropnalyzer, ic2.cropnalyzer.name
ic2:re_battery, ic2.re_battery.name
ic2:advanced_re_battery, ic2.advanced_re_battery.name
ic2:energy_crystal, ic2.energy_crystal.name
ic2:lapotron_crystal, ic2.lapotron_crystal.name
ic2:single_use_battery, ic2.single_use_battery.name
ic2:charging_re_battery, ic2.charging_re_battery.name
ic2:advanced_charging_re_battery, ic2.advanced_charging_re_battery.name
ic2:charging_energy_crystal, ic2.charging_energy_crystal.name
ic2:charging_lapotron_crystal, ic2.charging_lapotron_crystal.name
ic2:heat_storage, ic2.heat_storage.name
ic2:tri_heat_storage, ic2.tri_heat_storage.name
ic2:hex_heat_storage, ic2.hex_heat_storage.name
ic2:plating, ic2.plating.name
ic2:heat_plating, ic2.heat_plating.name
ic2:containment_plating, ic2.containment_plating.name
ic2:heat_exchanger, ic2.heat_exchanger.name
ic2:reactor_heat_exchanger, ic2.reactor_heat_exchanger.name
ic2:component_heat_exchanger, ic2.component_heat_exchanger.name
ic2:advanced_heat_exchanger, ic2.advanced_heat_exchanger.name
ic2:heat_vent, ic2.heat_vent.name
ic2:reactor_heat_vent, ic2.reactor_heat_vent.name
ic2:overclocked_heat_vent, ic2.overclocked_heat_vent.name
ic2:component_heat_vent, ic2.component_heat_vent.name
ic2:advanced_heat_vent, ic2.advanced_heat_vent.name
ic2:neutron_reflector, ic2.neutron_reflector.name
ic2:thick_neutron_reflector, ic2.thick_neutron_reflector.name
ic2:iridium_reflector, ic2.iridium_reflector.name
ic2:rsh_condensator, ic2.rsh_condensator.name
ic2:lzh_condensator, ic2.lzh_condensator.name
ic2:heatpack, ic2.heatpack.name
ic2:uranium_fuel_rod, ic2.uranium_fuel_rod.name
ic2:dual_uranium_fuel_rod, ic2.dual_uranium_fuel_rod.name
ic2:quad_uranium_fuel_rod, ic2.quad_uranium_fuel_rod.name
ic2:mox_fuel_rod, ic2.mox_fuel_rod.name
ic2:dual_mox_fuel_rod, ic2.dual_mox_fuel_rod.name
ic2:quad_mox_fuel_rod, ic2.quad_mox_fuel_rod.name
ic2:lithium_fuel_rod, ic2.lithium_fuel_rod.name
ic2:depleted_isotope_fuel_rod, ic2.depleted_isotope_fuel_rod.name
ic2:tfbp:0, Террачип
ic2:tfbp:1, Террачип "Охлаждение"
ic2:tfbp:2, Террачип "Озеленение"
ic2:tfbp:3, Террачип "Опустынивание"
ic2:tfbp:4, Террачип "Выравнивание"
ic2:tfbp:5, Террачип "Орошение"
ic2:tfbp:6, Террачип "Грибы"
ic2:bronze_axe, ic2.bronze_axe.name
ic2:bronze_hoe, ic2.bronze_hoe.name
ic2:bronze_pickaxe, ic2.bronze_pickaxe.name
ic2:bronze_shovel, ic2.bronze_shovel.name
ic2:bronze_sword, ic2.bronze_sword.name
ic2:cutter, ic2.cutter.name
ic2:debug_item, ic2.debug_item.name
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:foam_sprayer:0, Распылитель строительной пены
ic2:forge_hammer, ic2.forge_hammer.name
ic2:frequency_transmitter, ic2.frequency_transmitter.name
ic2:meter, ic2.meter.name
ic2:tool_box, ic2.tool_box.name
ic2:treetap, ic2.treetap.name
ic2:wrench, ic2.wrench.name
ic2:wrench_new, ic2.wrench_new.name
ic2:crowbar, ic2.crowbar.name
ic2:containment_box, ic2.containment_box.name
ic2:weeding_trowel, ic2.weeding_trowel.name
ic2:crop_seed_bag, ic2.crop_seed_bag.name
ic2:advanced_scanner, ic2.advanced_scanner.name
ic2:chainsaw, ic2.chainsaw.name
ic2:diamond_drill, ic2.diamond_drill.name
ic2:drill, ic2.drill.name
ic2:electric_hoe, ic2.electric_hoe.name
ic2:electric_treetap, ic2.electric_treetap.name
ic2:electric_wrench, ic2.electric_wrench.name
ic2:iridium_drill, ic2.iridium_drill.name
ic2:mining_laser, ic2.mining_laser.name
ic2:nano_saber, ic2.nano_saber.name
ic2:obscurator, ic2.obscurator.name
ic2:scanner, ic2.scanner.name
ic2:wind_meter, ic2.wind_meter.name
ic2:painter:0, Валик
ic2:painter:0, Чёрный валик
ic2:painter:0, Синий валик
ic2:painter:0, Коричневый валик
ic2:painter:0, Бирюзовый валик
ic2:painter:0, Тёмно-серый валик
ic2:painter:0, Зелёный валик
ic2:painter:0, Голубой валик
ic2:painter:0, Светло-серый валик
ic2:painter:0, Лаймовый валик
ic2:painter:0, Сиреневый валик
ic2:painter:0, Оранжевый валик
ic2:painter:0, Розовый валик
ic2:painter:0, Фиолетовый валик
ic2:painter:0, Красный валик
ic2:painter:0, Белый валик
ic2:painter:0, Жёлтый валик
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:cable:0, Медный провод
ic2:cable:0, Изолированный медный провод
ic2:cable:1, Стекловолоконный провод
ic2:cable:2, Золотой провод
ic2:cable:2, Изолированный золотой провод
ic2:cable:2, Золотой провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
advanced_machines:sharp_plate, advanced_machines.sharp_plate.name
advanced_solar_panels:advancedsolarhelmet, advanced_solar_panels.solar_helmets.advanced.name
advanced_solar_panels:hybridsolarhelmet, advanced_solar_panels.solar_helmets.hybrid.name
advanced_solar_panels:ultimatesolarhelmet, advanced_solar_panels.solar_helmets.ultimate.name
advanced_solar_panels:crafting:0, Саннариум
advanced_solar_panels:crafting:1, Часть саннариума
advanced_solar_panels:crafting:2, Сплав саннариума
advanced_solar_panels:crafting:3, Излучающий уран
advanced_solar_panels:crafting:4, Обогащённый саннариум
advanced_solar_panels:crafting:5, Сплав обогащённого саннариума
advanced_solar_panels:crafting:6, Излучающая стеклянная панель
advanced_solar_panels:crafting:7, Иридиевая-железная пластина
advanced_solar_panels:crafting:8, Укреплённая иридиевая-железная пластина
advanced_solar_panels:crafting:9, Излучающая укреплённая пластина
advanced_solar_panels:crafting:10, Слиток иридия
advanced_solar_panels:crafting:11, Слиток урана
advanced_solar_panels:crafting:12, MT-ядро
advanced_solar_panels:crafting:13, Квантовое ядро
advanced_solar_panels:double_stone_slab, Каменная плита
biomesoplenty:grass:0, Спектральный Мох
biomesoplenty:grass:1, Заросший Камень
biomesoplenty:grass:2, Глинистый Блок Травы
biomesoplenty:grass:3, Песчаный Блок Травы
biomesoplenty:grass:4, Илистый Блок Травы
biomesoplenty:grass:5, Изначальный Блок Травы
biomesoplenty:grass:6, Заросший Адский Камень
biomesoplenty:grass:7, Цветущий Блок Травы
biomesoplenty:grass:8, Мицелиевый Адский Камень
biomesoplenty:dirt:8, Грубая Глинистая Земля
biomesoplenty:dirt:0, Глинистая Земля
biomesoplenty:dirt:9, Грубая Песчаная Земля
biomesoplenty:dirt:1, Песчаная Земля
biomesoplenty:dirt:10, Грубая Илистая Земля
biomesoplenty:dirt:2, Илистая Земля
biomesoplenty:grass_path:0, Глинистая Тропинка
biomesoplenty:grass_path:1, Песчаная Тропинка
biomesoplenty:grass_path:2, Илистая Тропинка
biomesoplenty:farmland_0:0, Глинистая Пашня
biomesoplenty:farmland_0:1, Песчаная Пашня
biomesoplenty:farmland_1:0, Илистая Пашня
biomesoplenty:white_sand:0, Белый Песок
biomesoplenty:white_sandstone:0, Белый Песчаник
biomesoplenty:white_sandstone:1, Резной Белый Песчаник
biomesoplenty:white_sandstone:2, Гладкий Белый Песчаник
biomesoplenty:white_sandstone_stairs:0, Ступеньки из Белого Песчаника
biomesoplenty:dried_sand:0, Сухой Песок
biomesoplenty:hard_ice:0, Затвердевший Лёд
biomesoplenty:ash_block:0, Пепельный Блок
biomesoplenty:mud:0, Грязь
biomesoplenty:flesh:0, Плоть
biomesoplenty:crystal:0, Небесный Кристалл
biomesoplenty:biome_block:0, Руда Эссенции Биома
biomesoplenty:gem_ore:0, Аметистовая Руда из Края
biomesoplenty:gem_ore:1, Рубиновая Руда
biomesoplenty:gem_ore:2, Хризолитовая Руда
biomesoplenty:gem_ore:3, Топазовая Руда
biomesoplenty:gem_ore:4, Танзанитовая Руда
biomesoplenty:gem_ore:5, Малахитовая Руда
biomesoplenty:gem_ore:6, Сапфировая Руда
biomesoplenty:gem_ore:7, Янтарная Руда
biomesoplenty:gem_block:0, Блок Аметиста
biomesoplenty:gem_block:1, Блок Рубина
biomesoplenty:gem_block:2, Блок Хризолита
biomesoplenty:gem_block:3, Блок Топаза
biomesoplenty:gem_block:4, Блок Танзанита
biomesoplenty:gem_block:5, Блок Малахита
biomesoplenty:gem_block:6, Блок Сапфира
biomesoplenty:gem_block:7, Блок Янтаря
biomesoplenty:hive:0, Блок Улья
biomesoplenty:hive:1, Блок Медового Сота
biomesoplenty:hive:2, Пустой Блок Медового Сота
biomesoplenty:hive:3, Заполненный Блок Медового Сота
biomesoplenty:honey_block:0, Медовый Блок
biomesoplenty:blue_fire:0, Синий Огонёк
biomesoplenty:bamboo_thatching:0, Бамбуковая Солома
biomesoplenty:mud_brick_block:0, Кирпичи из Грязи
biomesoplenty:mud_brick_stairs:0, Ступеньки из Грязи
biomesoplenty:other_slab:0, Плитка из Грязи
biomesoplenty:other_slab:1, Плита из Белого Песчаника
biomesoplenty:log_0:4, Священный Дуб
biomesoplenty:log_0:5, Вишнёвое Дерево
biomesoplenty:log_0:6, Теневое Дерево
biomesoplenty:log_0:7, Пихта
biomesoplenty:log_1:4, Эфирное Дерево
biomesoplenty:log_1:5, Магическое Дерево
biomesoplenty:log_1:6, Мангровое Дерево
biomesoplenty:log_1:7, Пальма
biomesoplenty:log_2:4, Красное Дерево
biomesoplenty:log_2:5, Ива
biomesoplenty:log_2:6, Сосна
biomesoplenty:log_2:7, Адское Дерево
biomesoplenty:log_3:4, Жакаранда
biomesoplenty:log_3:5, Махагони
biomesoplenty:log_3:6, Эбеновое Дерево
biomesoplenty:log_3:7, Эвкалипт
biomesoplenty:log_4:4, Стебель Гигантского Цветка
biomesoplenty:log_4:5, Мёртвое Дерево
biomesoplenty:leaves_0:8, Пожелтевшие Осенние Листья
biomesoplenty:leaves_0:9, Покрасневшие Осенние Листья
biomesoplenty:leaves_0:10, Бамбуковые Листья
biomesoplenty:leaves_0:11, Магические Листья
biomesoplenty:leaves_1:8, Теневые Листья
biomesoplenty:leaves_1:9, Мертвые Листья
biomesoplenty:leaves_1:10, Пихтовые Листья
biomesoplenty:leaves_1:11, Эфирные Листья
biomesoplenty:leaves_2:8, Изначальные Листья
biomesoplenty:leaves_2:9, Розовые Вишнёвые Листья
biomesoplenty:leaves_2:10, Белые Вишнёвые Листья
biomesoplenty:leaves_2:11, Клёновые Листья
biomesoplenty:leaves_3:8, Листья Адского Дерева
biomesoplenty:leaves_3:9, Листья Цветущий Дуба
biomesoplenty:leaves_3:10, Жакарандовые Листья
biomesoplenty:leaves_3:11, Листья Священного Дуба
biomesoplenty:leaves_4:8, Мангровые Листья
biomesoplenty:leaves_4:9, Пальмовые Листья
biomesoplenty:leaves_4:10, Листья Красного Дерева
biomesoplenty:leaves_4:11, Ивовые Листья
biomesoplenty:leaves_5:8, Сосновые Листья
biomesoplenty:leaves_5:9, Махагоневые Листья
biomesoplenty:leaves_5:10, Эбеновые Листья
biomesoplenty:leaves_5:11, Эвкалиптовые Листья
biomesoplenty:leaves_6:8, Лепесток Красного Гигантского Цветка
biomesoplenty:leaves_6:9, Лепесток Жёлтого Гигантского Цветка
biomesoplenty:planks_0:0, Доски из Священного Дуба
biomesoplenty:planks_0:1, Вишнёвые Доски
biomesoplenty:planks_0:2, Теневые Доски
biomesoplenty:planks_0:3, Пихтовые Доски
biomesoplenty:planks_0:4, Эфирные Доски
biomesoplenty:planks_0:5, Магические Доски
biomesoplenty:planks_0:6, Мангровые Доски
biomesoplenty:planks_0:7, Пальмовые Доски
biomesoplenty:planks_0:8, Доски из Красного Дерева
biomesoplenty:planks_0:9, Ивовые Доски
biomesoplenty:planks_0:10, Сосновые Доски
biomesoplenty:planks_0:11, Доски из Адского Дерева
biomesoplenty:planks_0:12, Жакарандовые Доски
biomesoplenty:planks_0:13, Махагоновые Доски
biomesoplenty:planks_0:14, Эбеновые Доски
biomesoplenty:planks_0:15, Эвкалиптовые Доски
biomesoplenty:sacred_oak_stairs:0, Ступеньки из Священного Дуба
biomesoplenty:cherry_stairs:0, Лестница Вишнёвого Дерева
biomesoplenty:umbran_stairs:0, Теневые Ступеньки
biomesoplenty:fir_stairs:0, Пихтовые Ступеньки
biomesoplenty:ethereal_stairs:0, Эфирные Ступеньки
biomesoplenty:magic_stairs:0, Ступеньки из Магического Дерева
biomesoplenty:mangrove_stairs:0, Мангровые Ступеньки
biomesoplenty:palm_stairs:0, Пальмовые Ступеньки
biomesoplenty:redwood_stairs:0, Ступеньки из Красного Дерева
biomesoplenty:willow_stairs:0, Ивовые Ступеньки
biomesoplenty:pine_stairs:0, Сосновые Ступеньки
biomesoplenty:hellbark_stairs:0, Ступеньки из Адского Дерева
biomesoplenty:jacaranda_stairs:0, Жакарандовые Ступеньки
biomesoplenty:mahogany_stairs:0, Махагоновые Ступеньки
biomesoplenty:ebony_stairs:0, Эбеновые Ступеньки
biomesoplenty:eucalyptus_stairs:0, Эвкалиптовые Ступеньки
biomesoplenty:wood_slab_0:0, Плита из Священного Дуба
biomesoplenty:wood_slab_0:1, Плита Вишнёвого Дерева
biomesoplenty:wood_slab_0:2, Теневая Плитка
biomesoplenty:wood_slab_0:3, Пихтовый Плитка
biomesoplenty:wood_slab_0:4, Эфирная Плитка
biomesoplenty:wood_slab_0:5, Плита из Магического Дерева
biomesoplenty:wood_slab_0:6, Мангровая Плитка
biomesoplenty:wood_slab_0:7, Пальмовая Плитка
biomesoplenty:wood_slab_1:0, Плитка из Красного Дерева
biomesoplenty:wood_slab_1:1, Ивоваа Плитка
biomesoplenty:wood_slab_1:2, Сосновая Плитка
biomesoplenty:wood_slab_1:3, Плита из Адского Дерева
biomesoplenty:wood_slab_1:4, Жакарандовая Плитка
biomesoplenty:wood_slab_1:5, Махагоновая Плитка
biomesoplenty:wood_slab_1:6, Эбоновая Плитка
biomesoplenty:wood_slab_1:7, Эвкалиптовая Плитка
biomesoplenty:sacred_oak_fence:0, Забор из Священного Дуба
biomesoplenty:cherry_fence:0, Вишнёвый Забор
biomesoplenty:umbran_fence:0, Теневой Забор
biomesoplenty:fir_fence:0, Пихтовый Забор
biomesoplenty:ethereal_fence:0, Эфирный Забор
biomesoplenty:magic_fence:0, Забор из Магического Дерева
biomesoplenty:mangrove_fence:0, Мангровый Забор
biomesoplenty:palm_fence:0, Пальмовый Забор
biomesoplenty:redwood_fence:0, Забор из Красного Дерева
biomesoplenty:willow_fence:0, Ивовый Забор
biomesoplenty:pine_fence:0, Сосновый Забор
biomesoplenty:hellbark_fence:0, Забор из Адского Дерева
biomesoplenty:jacaranda_fence:0, Жакарандовый Забор
biomesoplenty:mahogany_fence:0, Махагоновый Забор
biomesoplenty:ebony_fence:0, Забор из Эбенового Дерева
biomesoplenty:eucalyptus_fence:0, Эвкалиптовый Забор
biomesoplenty:sacred_oak_fence_gate:0, Калитка из Священного Дуба
biomesoplenty:cherry_fence_gate:0, Вишнёвая Калитка
biomesoplenty:umbran_fence_gate:0, Теневая Калитка
biomesoplenty:fir_fence_gate:0, Пихтовая Калитка
biomesoplenty:ethereal_fence_gate:0, Эфирная Калитка
biomesoplenty:magic_fence_gate:0, Калитка из Магического Дерева
biomesoplenty:mangrove_fence_gate:0, Мангровая Калитка
biomesoplenty:palm_fence_gate:0, Пальмовая Калитка
biomesoplenty:redwood_fence_gate:0, Калитка из Красного Дерева
biomesoplenty:willow_fence_gate:0, Ивовая Калитка
biomesoplenty:pine_fence_gate:0, Сосновая Калитка
biomesoplenty:hellbark_fence_gate:0, Калитка из Адского Дерева
biomesoplenty:jacaranda_fence_gate:0, Жакарандовая Калитка
biomesoplenty:mahogany_fence_gate:0, Махагоновая Калитка
biomesoplenty:ebony_fence_gate:0, Эбеновая Калитка
biomesoplenty:eucalyptus_fence_gate:0, Эвкалиптовая Калитка
biomesoplenty:sacred_oak_door, Дверь из Священного Дуба
biomesoplenty:cherry_door, Вишневая Дверь
biomesoplenty:umbran_door, Дверь из Теневого Дерева
biomesoplenty:fir_door, Пихтовая Дверь
biomesoplenty:ethereal_door, Эфирная Дверь
biomesoplenty:magic_door, Магическая Дверь
biomesoplenty:mangrove_door, Мангровая Дверь
biomesoplenty:palm_door, Пальмовая Дверь
biomesoplenty:redwood_door, Дверь из Красного Дерева
biomesoplenty:willow_door, Дверь из Ивы
biomesoplenty:pine_door, Сосновая Дверь
biomesoplenty:hellbark_door, Дверь из Адской Дерева
biomesoplenty:jacaranda_door, Жакарандовая Дверь
biomesoplenty:mahogany_door, Махагоновая Дверь
biomesoplenty:ebony_door, Эбоновая Дверь
biomesoplenty:eucalyptus_door, Эвкалиптовая Дверь
biomesoplenty:coral:0, Розовый Коралл
biomesoplenty:coral:1, Оранжевый Коралл
biomesoplenty:coral:2, Синий Коралл
biomesoplenty:coral:3, Светящиеся Коралл
biomesoplenty:coral:4, Водоросли
biomesoplenty:seaweed:0, Ламинария
biomesoplenty:waterlily:0, Средняя Кувшинка
biomesoplenty:waterlily:1, Маленькая Кувшинка
biomesoplenty:waterlily:2, Крошечная Кувшинка
biomesoplenty:waterlily:3, Цветущая Лилия
biomesoplenty:bamboo:0, Бамбук
biomesoplenty:sapling_0:0, Саженец Пожелтевших Листьев
biomesoplenty:sapling_0:1, Саженец Покрасневших Листьев
biomesoplenty:sapling_0:2, Бамбуковый Саженец
biomesoplenty:sapling_0:3, Магический Саженец
